==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=10, num_instances=4, optim='adam', print_freq=10, reranking=False, resume='', root='/home/prj/data', save_dir='./log/softmax', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, test_distance='global', train_batch=32, unaligned=False, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
=================> Start training
Epoch: [2][100/404]	Time 0.212 (0.213)	Data 0.009 (0.013)	Loss 2.9200 (3.1292)	
Epoch: [2][110/404]	Time 0.211 (0.213)	Data 0.009 (0.012)	Loss 2.3803 (3.1009)	
Epoch: [2][120/404]	Time 0.209 (0.213)	Data 0.009 (0.012)	Loss 3.0447 (3.0587)	
Epoch: [2][130/404]	Time 0.209 (0.212)	Data 0.009 (0.012)	Loss 2.3184 (3.0325)	
Epoch: [2][140/404]	Time 0.208 (0.212)	Data 0.009 (0.012)	Loss 2.4680 (2.9892)	
Epoch: [2][150/404]	Time 0.210 (0.212)	Data 0.009 (0.012)	Loss 2.4345 (2.9483)	
Epoch: [2][160/404]	Time 0.209 (0.212)	Data 0.009 (0.011)	Loss 2.3403 (2.9177)	
Epoch: [2][170/404]	Time 0.212 (0.212)	Data 0.009 (0.011)	Loss 2.6826 (2.8776)	
Epoch: [2][180/404]	Time 0.210 (0.211)	Data 0.009 (0.011)	Loss 2.2718 (2.8442)	
Epoch: [2][190/404]	Time 0.208 (0.211)	Data 0.009 (0.011)	Loss 1.6265 (2.8025)	
Epoch: [2][200/404]	Time 0.211 (0.211)	Data 0.009 (0.011)	Loss 1.9203 (2.7734)	
Epoch: [2][210/404]	Time 0.209 (0.211)	Data 0.009 (0.011)	Loss 2.2024 (2.7440)	
Epoch: [2][220/404]	Time 0.209 (0.211)	Data 0.009 (0.011)	Loss 1.6098 (2.7058)	
Epoch: [2][230/404]	Time 0.209 (0.211)	Data 0.009 (0.011)	Loss 2.0780 (2.6723)	
Epoch: [2][240/404]	Time 0.209 (0.211)	Data 0.009 (0.011)	Loss 1.6869 (2.6427)	
Epoch: [2][250/404]	Time 0.207 (0.211)	Data 0.009 (0.011)	Loss 1.6919 (2.6127)	
